method,city,period,seed,n_users,n_users_overlap,k,ari,silhouette,dbi,csr,ts
dynec,City-B,2024-02,2,500,500.0,8,0.8863064033455617,0.676312494245245,0.4195944749996048,0.006,0.01298301170051157
dynec,City-B,2024-03,2,500,500.0,8,0.8793990222168243,0.6542354726319687,0.4225162748168675,0.004,0.0033978259623749976
dynec,City-B,2024-04,2,500,500.0,8,0.8628700219494224,0.6679921983377511,0.41476431731868557,0.01,0.00554071257531858
dynec,City-B,2024-05,2,500,500.0,8,0.8335447607742928,0.6435447558004068,0.42497431729693885,0.008,0.0035302769418892052
dynec,City-B,2024-06,2,500,500.0,8,0.8180913096215588,0.6604355402449432,0.44279377284210575,0.004,0.0012517890989810852
dynec,City-B,2024-07,2,500,500.0,8,0.8066298813486414,0.6064793447480983,0.44873038220578,0.008,0.005481589488882362
dynec,City-B,2024-08,2,500,500.0,8,0.7747782062831314,0.6317043366763948,0.47233296660478785,0.012,0.0048530785771951045
dynec,City-B,2024-09,2,500,500.0,8,0.7768772251270994,0.6425265147278705,0.5097941613017649,0.016,0.018630438420514296
dynec,City-B,2024-10,2,500,500.0,8,0.7625077580658638,0.6624466022955606,0.45461654262626394,0.018,0.003013902427981436
dynec,City-B,2024-11,2,500,500.0,8,0.7686673661770136,0.6805366064124828,0.39985757114262965,0.01,0.0023051943354691936
dynec,City-B,2024-12,2,500,500.0,8,0.7627265973758128,0.5890560164562391,0.4925100880898575,0.012,0.0037174706991654305
dynec,City-C,2024-01,2,650,,8,0.984299707448399,0.7295957614056187,0.37564281813200584,,
dynec,City-C,2024-02,2,650,650.0,8,0.9883293508775121,0.7286775682388493,0.3563888155867759,0.0015384615384615385,0.009541403086943134
dynec,City-C,2024-03,2,650,650.0,8,0.94974156669406,0.754284905541368,0.3354006056584137,0.004615384615384616,0.0061075460294238906
dynec,City-C,2024-04,2,650,650.0,8,0.8832143179592348,0.7655344445551526,0.32748826012386945,0.006153846153846154,0.006980439511867771
dynec,City-C,2024-05,2,650,650.0,8,0.8294168161517045,0.7304170051754562,0.3527581539090936,0.010769230769230769,0.016451468910955235
dynec,City-C,2024-06,2,650,650.0,8,0.76856879292518,0.7622386805852056,0.31006858787403385,0.004615384615384616,0.00983964278310611
dynec,City-C,2024-07,2,650,650.0,8,0.7209695539308986,0.7208223309143642,0.38624334102263624,0.007692307692307693,0.009168992855819926
dynec,City-C,2024-08,2,650,650.0,8,0.6640781090509154,0.7147956425009219,0.4155707645942197,0.007692307692307693,0.0028607639539231905
dynec,City-C,2024-09,2,650,650.0,8,0.6430954168493185,0.7312768814192288,0.3598843137922007,0.007692307692307693,0.007498302111032198
dynec,City-C,2024-10,2,650,650.0,8,0.637056423748549,0.7400998332847106,0.3519338585271908,0.007692307692307693,0.0033481244629395153
dynec,City-C,2024-11,2,650,650.0,8,0.6337251433170052,0.7347488124218466,0.35313951029874213,0.007692307692307693,0.0023509297378631736
dynec,City-C,2024-12,2,650,650.0,8,0.6405934369125571,0.7321416180588762,0.3618691566039139,0.004615384615384616,0.002826766222215046
kmeans,City-A,2024-01,3,800,,8,0.5785476982607719,0.4537819390338531,0.8317165416927261,,
kmeans,City-A,2024-02,3,800,800.0,8,0.5222870815698478,0.4112386932722575,0.9195508349557762,0.45,4.039800802280738
kmeans,City-A,2024-03,3,800,800.0,8,0.5091914920131279,0.4440644061470934,0.8946284406205298,0.3,2.6932005348538244
kmeans,City-A,2024-04,3,800,800.0,8,0.4242795273001063,0.4082633291807082,0.8567354509993649,0.27125,2.4351021502636665
kmeans,City-A,2024-05,3,800,800.0,8,0.4342601050912958,0.40353321126485425,0.8599006828938168,0.4175,3.7480374110049066
kmeans,City-A,2024-06,3,800,800.0,8,0.43988728280194694,0.411035654070825,0.954264486059353,0.1425,1.2792702540555667
kmeans,City-A,2024-07,3,800,800.0,8,0.36133140749455306,0.4217311982497551,0.925160522424319,0.0925,0.830403498246596
kmeans,City-A,2024-08,3,800,800.0,8,0.2632963922633963,0.3328327505533936,1.0266905249957503,0.42125,3.7817024176905796
kmeans,City-A,2024-09,3,800,800.0,8,0.2957855145667435,0.35755261341809297,0.9682501926092739,0.165,1.4812602941696036
kmeans,City-A,2024-10,3,800,800.0,8,0.28160674751128767,0.3888522785924735,0.9291395934105386,0.43125,3.8714757688523735
kmeans,City-A,2024-11,3,800,800.0,8,0.26489175277049953,0.3885124695084718,0.9545686495358171,0.375,3.3665006685672814
kmeans,City-A,2024-12,3,800,800.0,8,0.29550942215399306,0.3906379525653976,0.93530895750534,0.16,1.4363736185887066
kmeans,City-B,2024-01,3,500,,8,0.5773180405120923,0.5321388110517128,0.6315365556468137,,
kmeans,City-B,2024-02,3,500,500.0,8,0.9612621217412747,0.6358493180480486,0.48224783196066445,0.298,2.6752458646214663
kmeans,City-B,2024-03,3,500,500.0,8,0.5941262472272323,0.5980658578585445,0.5184841646163827,0.352,3.1600219608951545
kmeans,City-B,2024-04,3,500,500.0,8,0.9291445419398489,0.6051558733833098,0.5209702080699516,0.352,3.1600219608951545
kmeans,City-B,2024-05,3,500,500.0,8,0.6507362876559656,0.5067601502873612,0.725017115395854,0.332,2.9804752585715666
kmeans,City-B,2024-06,3,500,500.0,8,0.8115950825766551,0.5967535501195038,0.46601389526408854,0.398,3.5729793762394078
kmeans,City-B,2024-07,3,500,500.0,8,0.8559071858713674,0.5917314005127442,0.5279295374544277,0.084,0.7540961497590709
kmeans,City-B,2024-08,3,500,500.0,8,0.5368728290943126,0.5632397752233852,0.6009334234879118,0.28,2.5136538325302364
kmeans,City-B,2024-09,3,500,500.0,8,0.5653381899636489,0.5396132329593893,0.7256513857879736,0.05,0.4488667558089708
kmeans,City-B,2024-10,3,500,500.0,8,0.8027981161534565,0.6113351712482765,0.5190253595017007,0.29,2.603427183692031
kmeans,City-B,2024-11,3,500,500.0,8,0.8276248290732159,0.5941675378039791,0.5190740201081137,0.008,0.07181868092943533
kmeans,City-B,2024-12,3,500,500.0,8,0.8144110315176966,0.5586468056933483,0.6729724875430547,0.068,0.6104587879002004
kmeans,City-C,2024-01,3,650,,8,0.6965641480236513,0.492923004527868,0.7319874639584437,,
kmeans,City-C,2024-02,3,650,650.0,8,0.7276795323143328,0.49247704238385154,0.7339442078385278,0.19076923076923077,1.7125993144711502
kmeans,City-C,2024-03,3,650,650.0,8,0.6867880626719505,0.5299252802129574,0.6922586708762222,0.27076923076923076,2.4307861237655035
kmeans,City-C,2024-04,3,650,650.0,8,0.6578008078721707,0.4624683509276651,0.8043418784123717,0.2953846153846154,2.651766680471458
kmeans,City-C,2024-05,3,650,650.0,8,0.48051121882446196,0.42805932883092823,0.9113357204780556,0.3923076923076923,3.521877622501155
kmeans,City-C,2024-06,3,650,650.0,8,0.5433883507484235,0.4547390195024404,0.8439516952801587,0.27076923076923076,2.4307861237655035
kmeans,City-C,2024-07,3,650,650.0,8,0.5036835398441633,0.414844800523848,0.9297011645240557,0.14615384615384616,1.3120720554416068
kmeans,City-C,2024-08,3,650,650.0,8,0.4368996236341306,0.3693028322829703,0.9472353546453418,0.34307692307692306,3.0799165090892457
kmeans,City-C,2024-09,3,650,650.0,8,0.3897137025456362,0.4187134925719863,0.8832765712753936,0.49538461538461537,4.447233703707342
kmeans,City-C,2024-10,3,650,650.0,8,0.40585202049786206,0.41296668835985156,0.8923880374168236,0.5138461538461538,4.612969121236808
kmeans,City-C,2024-11,3,650,650.0,8,0.4166417732172996,0.43512405585011693,0.8104249183229129,0.17692307692307693,1.5882977513240506
kmeans,City-C,2024-12,3,650,650.0,8,0.4514835942349228,0.4505537764166479,0.8210031119342583,0.40615384615384614,3.646179185648255
